n,Year_Month,citizen_ge,visitor_type_en,pa_ge,pa_en,visits
2220,2019-12,ქართველი,Domestic,ყაზბეგის ეროვნული პარკი,Kazbegi National Park,2260
2221,2019-01,უცხოელი,International,ყაზბეგის ეროვნული პარკი,Kazbegi National Park,1220
2222,2019-02,უცხოელი,International,ყაზბეგის ეროვნული პარკი,Kazbegi National Park,690
2223,2019-03,უცხოელი,International,ყაზბეგის ეროვნული პარკი,Kazbegi National Park,920
2224,2019-04,უცხოელი,International,ყაზბეგის ეროვნული პარკი,Kazbegi National Park,1725
2225,2019-05,უცხოელი,International,ყაზბეგის ეროვნული პარკი,Kazbegi National Park,7855
2226,2019-06,უცხოელი,International,ყაზბეგის ეროვნული პარკი,Kazbegi National Park,11435
2227,2019-07,უცხოელი,International,ყაზბეგის ეროვნული პარკი,Kazbegi National Park,15320
2228,2019-08,უცხოელი,International,ყაზბეგის ეროვნული პარკი,Kazbegi National Park,19690
2229,2019-09,უცხოელი,International,ყაზბეგის ეროვნული პარკი,Kazbegi National Park,9875
2230,2019-10,უცხოელი,International,ყაზბეგის ეროვნული პარკი,Kazbegi National Park,7540
2231,2019-11,უცხოელი,International,ყაზბეგის ეროვნული პარკი,Kazbegi National Park,1933
2232,2019-12,უცხოელი,International,ყაზბეგის ეროვნული პარკი,Kazbegi National Park,1687
2233,2020-01,ქართველი,Domestic,ყაზბეგის ეროვნული პარკი,Kazbegi National Park,1998
2234,2020-02,ქართველი,Domestic,ყაზბეგის ეროვნული პარკი,Kazbegi National Park,1075
2235,2020-03,ქართველი,Domestic,ყაზბეგის ეროვნული პარკი,Kazbegi National Park,520
2236,2020-06,ქართველი,Domestic,ყაზბეგის ეროვნული პარკი,Kazbegi National Park,2155
2237,2020-07,ქართველი,Domestic,ყაზბეგის ეროვნული პარკი,Kazbegi National Park,3677
2238,2020-08,ქართველი,Domestic,ყაზბეგის ეროვნული პარკი,Kazbegi National Park,5125
2239,2020-09,ქართველი,Domestic,ყაზბეგის ეროვნული პარკი,Kazbegi National Park,4360
2240,2020-10,ქართველი,Domestic,ყაზბეგის ეროვნული პარკი,Kazbegi National Park,3250
2241,2020-11,ქართველი,Domestic,ყაზბეგის ეროვნული პარკი,Kazbegi National Park,1918
2242,2020-12,ქართველი,Domestic,ყაზბეგის ეროვნული პარკი,Kazbegi National Park,1047
2243,2020-01,უცხოელი,International,ყაზბეგის ეროვნული პარკი,Kazbegi National Park,1380
2244,2020-02,უცხოელი,International,ყაზბეგის ეროვნული პარკი,Kazbegi National Park,740
2245,2020-03,უცხოელი,International,ყაზბეგის ეროვნული პარკი,Kazbegi National Park,333
2246,2020-06,უცხოელი,International,ყაზბეგის ეროვნული პარკი,Kazbegi National Park,46
2247,2020-07,უცხოელი,International,ყაზბეგის ეროვნული პარკი,Kazbegi National Park,80
2248,2020-08,უცხოელი,International,ყაზბეგის ეროვნული პარკი,Kazbegi National Park,262
2249,2020-09,უცხოელი,International,ყაზბეგის ეროვნული პარკი,Kazbegi National Park,205
2250,2020-10,უცხოელი,International,ყაზბეგის ეროვნული პარკი,Kazbegi National Park,233
2251,2020-11,უცხოელი,International,ყაზბეგის ეროვნული პარკი,Kazbegi National Park,76
2252,2020-12,უცხოელი,International,ყაზბეგის ეროვნული პარკი,Kazbegi National Park,35
2253,2016-07,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,5909
2254,2016-08,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,15546
2255,2016-09,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,4304
2256,2016-10,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,1444
2257,2016-11,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,457
2258,2016-12,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,30
2259,2016-07,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,4559
2260,2016-08,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,15589
2261,2016-09,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,9413
2262,2016-10,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,3887
2263,2016-11,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,1048
2264,2016-12,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,248
2265,2017-01,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,60
2266,2017-02,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,28
2267,2017-03,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,150
2268,2017-04,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,572
2269,2017-05,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,3771
2270,2017-06,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,17977
2271,2017-07,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,15687
2272,2017-08,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,19195
2273,2017-09,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,9160
2274,2017-10,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,2216
2275,2017-11,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,533
2276,2017-12,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,197
2277,2017-01,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,309
2278,2017-02,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,203
2279,2017-03,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,959
2280,2017-04,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,2831
2281,2017-05,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,4827
2282,2017-06,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,9251
2283,2017-07,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,17865
2284,2017-08,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,25578
2285,2017-09,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,12318
2286,2017-10,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,2820
2287,2017-11,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,605
2288,2017-12,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,532
2289,2018-01,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,182
2290,2018-02,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,163
2291,2018-03,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,442
2292,2018-04,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,1431
2293,2018-05,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,5492
2294,2018-06,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,19068
2295,2018-07,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,15393
2296,2018-08,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,18775
2297,2018-09,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,7759
2298,2018-10,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,2395
2299,2018-11,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,749
2300,2018-12,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,246
2301,2018-01,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,225
2302,2018-02,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,311
2303,2018-03,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,1591
2304,2018-04,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,3398
2305,2018-05,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,6820
2306,2018-06,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,10925
2307,2018-07,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,21763
2308,2018-08,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,27354
2309,2018-09,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,20201
2310,2018-10,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,6544
2311,2018-11,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,2154
2312,2018-12,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,762
2313,2019-01,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,294
2314,2019-02,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,221
2315,2019-03,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,502
2316,2019-04,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,1209
2317,2019-05,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,3878
2318,2019-06,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,12412
2319,2019-07,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,12200
2320,2019-08,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,20436
2321,2019-09,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,5761
2322,2019-10,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,3698
2323,2019-11,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,812
2324,2019-12,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,440
2325,2019-01,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,470
2326,2019-02,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,619
2327,2019-03,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,1866
2328,2019-04,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,4699
2329,2019-05,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,12420
2330,2019-06,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,20468
2331,2019-07,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,24982
2332,2019-08,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,31071
2333,2019-09,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,18063
2334,2019-10,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,9307
2335,2019-11,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,2650
2336,2019-12,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,1416
2337,2020-01,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,252
2338,2020-02,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,170
2339,2020-03,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,113
2340,2020-06,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,1392
2341,2020-07,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,4124
2342,2020-08,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,8943
2343,2020-09,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,2515
2344,2020-10,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,538
2345,2020-11,ქართველი,Domestic,მარტვილის კანიონი,Martvili Canyon,41
2346,2020-01,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,946
2347,2020-02,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,763
2348,2020-03,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,592
2349,2020-06,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,159
2350,2020-07,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,249
2351,2020-08,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,283
2352,2020-09,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,230
2353,2020-10,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,170
2354,2020-11,უცხოელი,International,მარტვილის კანიონი,Martvili Canyon,9
2355,2019-04,ქართველი,Domestic,მარიამჯვრის სახელმწიფო ნაკრძალი,Mariamjvari Strict Nature Reserve,1
2356,2019-05,ქართველი,Domestic,მარიამჯვრის სახელმწიფო ნაკრძალი,Mariamjvari Strict Nature Reserve,6
2357,2019-06,ქართველი,Domestic,მარიამჯვრის სახელმწიფო ნაკრძალი,Mariamjvari Strict Nature Reserve,8
2358,2019-07,ქართველი,Domestic,მარიამჯვრის სახელმწიფო ნაკრძალი,Mariamjvari Strict Nature Reserve,2
2359,2019-08,ქართველი,Domestic,მარიამჯვრის სახელმწიფო ნაკრძალი,Mariamjvari Strict Nature Reserve,3
2360,2019-09,ქართველი,Domestic,მარიამჯვრის სახელმწიფო ნაკრძალი,Mariamjvari Strict Nature Reserve,2
2361,2020-03,ქართველი,Domestic,მარიამჯვრის სახელმწიფო ნაკრძალი,Mariamjvari Strict Nature Reserve,7
2362,2020-06,ქართველი,Domestic,მარიამჯვრის სახელმწიფო ნაკრძალი,Mariamjvari Strict Nature Reserve,4
2363,2020-07,ქართველი,Domestic,მარიამჯვრის სახელმწიფო ნაკრძალი,Mariamjvari Strict Nature Reserve,18
2364,2020-08,ქართველი,Domestic,მარიამჯვრის სახელმწიფო ნაკრძალი,Mariamjvari Strict Nature Reserve,17
2365,2020-09,ქართველი,Domestic,მარიამჯვრის სახელმწიფო ნაკრძალი,Mariamjvari Strict Nature Reserve,32
2366,2020-10,ქართველი,Domestic,მარიამჯვრის სახელმწიფო ნაკრძალი,Mariamjvari Strict Nature Reserve,12
2367,2020-11,ქართველი,Domestic,მარიამჯვრის სახელმწიფო ნაკრძალი,Mariamjvari Strict Nature Reserve,1
2368,2020-12,ქართველი,Domestic,მარიამჯვრის სახელმწიფო ნაკრძალი,Mariamjvari Strict Nature Reserve,3
2369,2014-01,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,89
2370,2014-02,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,219
2371,2014-03,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,250
2372,2014-04,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,449
2373,2014-05,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,503
2374,2014-06,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,1119
2375,2014-07,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,1757
2376,2014-08,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,1489
2377,2014-09,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,447
2378,2014-10,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,577
2379,2014-11,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,236
2380,2014-12,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,200
2381,2014-01,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,6
2382,2014-02,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,3
2383,2014-03,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,13
2384,2014-04,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,23
2385,2014-05,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,29
2386,2014-06,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,73
2387,2014-07,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,233
2388,2014-08,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,394
2389,2014-09,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,113
2390,2014-10,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,95
2391,2014-11,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,109
2392,2015-01,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,120
2393,2015-02,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,249
2394,2015-03,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,268
2395,2015-04,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,527
2396,2015-05,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,580
2397,2015-06,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,1142
2398,2015-07,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,1485
2399,2015-08,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,1541
2400,2015-09,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,612
2401,2015-10,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,542
2402,2015-11,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,354
2403,2015-12,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,246
2404,2015-02,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,2
2405,2015-03,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,8
2406,2015-04,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,14
2407,2015-05,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,20
2408,2015-06,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,55
2409,2015-07,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,277
2410,2015-08,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,380
2411,2015-09,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,143
2412,2015-10,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,105
2413,2015-11,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,60
2414,2015-12,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,7
2415,2016-01,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,141
2416,2016-02,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,262
2417,2016-03,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,284
2418,2016-04,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,516
2419,2016-05,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,542
2420,2016-06,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,1135
2421,2016-07,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,1599
2422,2016-08,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,1675
2423,2016-09,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,699
2424,2016-10,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,584
2425,2016-11,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,363
2426,2016-12,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,252
2427,2016-01,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,5
2428,2016-02,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,30
2429,2016-03,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,37
2430,2016-04,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,70
2431,2016-05,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,99
2432,2016-06,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,112
2433,2016-07,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,232
2434,2016-08,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,293
2435,2016-09,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,104
2436,2016-10,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,71
2437,2016-11,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,62
2438,2016-12,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,8
2439,2017-01,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,143
2440,2017-02,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,272
2441,2017-03,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,304
2442,2017-04,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,539
2443,2017-05,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,567
2444,2017-06,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,1349
2445,2017-07,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,2140
2446,2017-08,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,2198
2447,2017-09,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,643
2448,2017-10,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,375
2449,2017-11,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,526
2450,2017-12,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,260
2451,2017-01,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,7
2452,2017-02,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,32
2453,2017-03,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,40
2454,2017-04,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,78
2455,2017-05,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,115
2456,2017-06,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,130
2457,2017-07,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,520
2458,2017-08,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,662
2459,2017-09,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,211
2460,2017-10,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,73
2461,2017-11,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,92
2462,2017-12,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,10
2463,2018-01,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,150
2464,2018-02,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,272
2465,2018-03,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,315
2466,2018-04,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,560
2467,2018-05,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,637
2468,2018-06,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,1819
2469,2018-07,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,2642
2470,2018-08,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,2763
2471,2018-09,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,758
2472,2018-10,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,360
2473,2018-11,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,551
2474,2018-12,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,291
2475,2018-01,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,8
2476,2018-02,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,35
2477,2018-03,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,44
2478,2018-04,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,86
2479,2018-05,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,196
2480,2018-06,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,214
2481,2018-07,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,640
2482,2018-08,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,1245
2483,2018-09,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,422
2484,2018-10,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,176
2485,2018-11,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,117
2486,2018-12,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,24
2487,2019-01,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,180
2488,2019-02,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,393
2489,2019-03,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,397
2490,2019-04,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,622
2491,2019-05,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,1104
2492,2019-06,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,1900
2493,2019-07,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,2304
2494,2019-08,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,1983
2495,2019-09,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,944
2496,2019-10,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,415
2497,2019-11,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,570
2498,2019-12,ქართველი,Domestic,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,349
2499,2019-01,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,23
2500,2019-02,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,44
2501,2019-03,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,58
2502,2019-04,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,94
2503,2019-05,უცხოელი,International,ქობულეთის დაცული ტერიტორიები,Kobuleti Protected Areas,132
